Merkmal;Grundgesamtheit¹;absolute Häufigkeit;relative Häufigkeit in %
Gewalt in Beziehungen;3130986;513934;16,41
Gewalt außerhalb Beziehungen;3245166;863505;26,61
Stalking;3245166;709958;21,88
Sexuelle Belästigung am Arbeitsplatz;2770707;736613;26,59
Sexuelle Gewalt in der Kindheit;3245166;228910;7,05
Körperliche Gewalt innerhalb oder außerhalb von intimen Beziehungen (erlebt ab dem Alter von 15 Jahren);3245166;761786;23,47
Sexuelle Gewalt innerhalb oder außerhalb von intimen Beziehungen (erlebt ab dem Alter von 15 Jahren);3245166;770716;23,75
Körperliche und/oder sexuelle Gewalt innerhalb oder außerhalb von intimen Beziehungen (erlebt ab dem Alter von 15 Jahren);3245166;1119934;34,51
Androhung von körperlicher Gewalt innerhalb oder außerhalb von intimen Beziehungen (erlebt ab dem Alter von 15 Jahren);3245166;495016;15,25
